ASV silva_kingdom silva_phylum silva_class silva_order silva_family silva_genus silva_species_single silva_species_multiple rdp_kingdom rdp_phylum rdp_class rdp_order rdp_family rdp_genus rdp_species_single rdp_species_multiple decipher_domain decipher_phylum decipher_class decipher_order decipher_family decipher_genus decipher_species
ASV_16S_01244 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA NA Bacteria Actinobacteria Thermoleophilia Solirubrobacterales Conexibacteraceae Conexibacter NA NA Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_16S_01245 Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales Paludibacteraceae Paludibacter NA
ASV_16S_01246 Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae NA NA NA Bacteria Bacteroidetes Cytophagia Cytophagales Fulvivirgaceae NA NA NA Bacteria Bacteroidota Bacteroidia Cytophagales NA NA NA
ASV_16S_01247 Bacteria Chloroflexi SHA-26 NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01248 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Candidatus_Solibacter NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA
ASV_16S_01249 Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae "Candidatus Protochlamydia" NA NA Bacteria Chlamydiae Chlamydiia Chlamydiales Parachlamydiaceae Parachlamydia NA NA Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae NA NA
ASV_16S_01250 Bacteria Planctomycetota Planctomycetes Isosphaerales Isosphaeraceae Aquisphaera NA NA Bacteria Planctomycetes Planctomycetacia Planctomycetales Isosphaeraceae Paludisphaera NA NA Bacteria Planctomycetota Planctomycetes Isosphaerales Isosphaeraceae NA NA
ASV_16S_01251 Bacteria WS1 NA NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria WS1 NA NA NA NA NA
ASV_16S_01252 Bacteria Proteobacteria Alphaproteobacteria Elsterales Elsteraceae NA NA NA Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01253 Bacteria Bacteroidota Kapabacteria Kapabacteriales NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01254 Bacteria Verrucomicrobiota Omnitrophia Omnitrophales Omnitrophaceae "Candidatus Omnitrophus" NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01255 Bacteria Patescibacteria Parcubacteria "Candidatus Staskawiczbacteria" NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Patescibacteria Parcubacteria NA NA NA NA
ASV_16S_01256 Bacteria Planctomycetota Planctomycetes Gemmatales Gemmataceae NA NA NA Bacteria Planctomycetes Planctomycetacia Planctomycetales Gemmataceae NA NA NA NA NA NA NA NA NA NA
ASV_16S_01257 Bacteria Patescibacteria Parcubacteria NA NA NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01258 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Gallionellaceae "Candidatus Nitrotoga" NA NA Bacteria Proteobacteria Betaproteobacteria Nitrosomonadales Gallionellaceae NA NA NA Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Gallionellaceae NA NA
ASV_16S_01259 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA NA Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Zoogloeaceae Zoogloea NA NA Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA
ASV_16S_01260 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidicapsa NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Acidicapsa NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidicapsa NA
ASV_16S_01261 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01262 Bacteria Patescibacteria Parcubacteria "Candidatus Nomurabacteria" NA NA NA NA Bacteria Parcubacteria NA NA NA NA NA NA Bacteria Patescibacteria Parcubacteria "Candidatus Nomurabacteria" NA NA NA
ASV_16S_01263 Bacteria FCPU426 NA NA NA NA NA NA Bacteria Firmicutes Negativicutes NA NA NA NA NA Bacteria FCPU426 NA NA NA NA NA
ASV_16S_01264 Bacteria Elusimicrobiota "Lineage IIa" NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Elusimicrobiota "Lineage IIa" NA NA NA NA
ASV_16S_01265 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Chthoniobacter NA NA Bacteria Verrucomicrobia Spartobacteria NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Chthoniobacter NA
ASV_16S_01266 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01267 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA NA Bacteria Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae NA NA NA Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_16S_01268 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Chthoniobacter NA NA Bacteria Verrucomicrobia Spartobacteria NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Chthoniobacter NA
ASV_16S_01269 Bacteria Planctomycetota Phycisphaerae Tepidisphaerales "WD2101 soil group" NA NA NA Bacteria candidate_division_WPS-1 NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01270 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae Acidocella NA NA Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Acetobacteraceae Acidocella NA NA Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae Acidocella NA
ASV_16S_01271 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Telmatobacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Occallatibacter NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA
ASV_16S_01272 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA NA Bacteria Actinobacteria Actinobacteria Streptosporangiales Thermomonosporaceae Actinoallomurus NA NA Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_16S_01273 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA
ASV_16S_01274 Bacteria WPS-2 NA NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01275 Bacteria Elusimicrobiota "Lineage IIa" NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Elusimicrobiota "Lineage IIa" NA NA NA NA
ASV_16S_01276 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae NA NA NA NA
ASV_16S_01277 Bacteria NA NA NA NA NA NA NA Bacteria Firmicutes NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01278 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Granulicella NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA
ASV_16S_01279 Bacteria Planctomycetota Planctomycetes Gemmatales Gemmataceae NA NA NA Bacteria Planctomycetes Planctomycetacia Planctomycetales Planctomycetaceae NA NA NA NA NA NA NA NA NA NA
ASV_16S_01280 Bacteria Planctomycetota Phycisphaerae Phycisphaerales "AKAU3564 sediment group" NA NA NA Bacteria Planctomycetes Phycisphaerae Sedimentisphaerales Anaerohalosphaeraceae Anaerohalosphaera NA NA NA NA NA NA NA NA NA
ASV_16S_01281 Bacteria Acidobacteriota "Subgroup 18" NA NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp18 Gp18 NA NA NA NA Bacteria Acidobacteriota "Subgroup 18" NA NA NA NA
ASV_16S_01282 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA
ASV_16S_01283 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA
ASV_16S_01284 Bacteria Verrucomicrobiota Verrucomicrobiae NA NA NA NA NA Bacteria Verrucomicrobia Terrimicrobia Terrimicrobiales Terrimicrobiaceae Terrimicrobium NA NA NA NA NA NA NA NA NA
ASV_16S_01285 Bacteria Bacteroidota Kryptonia Kryptoniales BSV26 NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Bacteroidota Kryptonia Kryptoniales BSV26 NA NA
ASV_16S_01286 Bacteria Bacteroidota Bacteroidia Bacteroidales Dysgonomonadaceae NA NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia NA NA NA NA
ASV_16S_01287 Bacteria Bacteroidota Kapabacteria Kapabacteriales NA NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01288 Bacteria Armatimonadota Armatimonadia Armatimonadales NA NA NA NA Bacteria Armatimonadetes Armatimonadia Armatimonadales Armatimonadaceae Armatimonas/Armatimonadetes_gp1 NA NA NA NA NA NA NA NA NA
ASV_16S_01289 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Silvibacterium NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_01290 Bacteria FCPU426 NA NA NA NA NA NA Bacteria Firmicutes NA NA NA NA NA NA Bacteria FCPU426 NA NA NA NA NA
ASV_16S_01291 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_16S_01292 Bacteria Verrucomicrobiota Verrucomicrobiae Methylacidiphilales Methylacidiphilaceae NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01293 Bacteria Elusimicrobiota Elusimicrobia "Lineage IV" NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Elusimicrobiota Elusimicrobia "Lineage IV" NA NA NA
ASV_16S_01294 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA
ASV_16S_01295 Bacteria Armatimonadota NA NA NA NA NA NA Bacteria Armatimonadetes Armatimonadetes_gp2 NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01296 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae "Candidatus Solibacter" NA
ASV_16S_01297 Bacteria Myxococcota Polyangia Polyangiales Polyangiaceae Pajaroellobacter NA NA Bacteria Proteobacteria Deltaproteobacteria Myxococcales Polyangiaceae NA NA NA Bacteria Myxococcota Polyangia Polyangiales Polyangiaceae Pajaroellobacter NA
ASV_16S_01298 Bacteria Desulfobacterota Desulfuromonadia Geobacterales Geobacteraceae Geobacter NA NA Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Geobacteraceae Geobacter NA NA Bacteria Desulfobacterota NA NA NA NA NA
ASV_16S_01299 Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae NA NA NA Bacteria Bacteroidetes Cytophagia Cytophagales Fulvivirgaceae Chryseolinea NA NA Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae OLB12 NA
ASV_16S_01300 Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp7 Gp7 NA NA NA NA Bacteria Acidobacteriota Holophagae "Subgroup 7" NA NA NA
ASV_16S_01301 Bacteria Armatimonadota Armatimonadia Armatimonadales NA NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01302 Bacteria Patescibacteria Microgenomatia "Candidatus Levybacteria" NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Patescibacteria Microgenomatia "Candidatus Levybacteria" NA NA NA
ASV_16S_01303 Bacteria Acidobacteriota Acidobacteriae "Subgroup 2" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp2 Gp2 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae "Subgroup 2" NA NA NA
ASV_16S_01304 Bacteria Bdellovibrionota Oligoflexia 0319-6G20 NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01305 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidicapsa NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Acidicapsa NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidicapsa NA
ASV_16S_01306 Bacteria Cyanobacteria Sericytochromatia NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01307 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia Gaiellales Gaiellaceae Gaiella NA NA Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_16S_01308 Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae Leptolinea NA NA Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae NA NA NA Bacteria Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae NA NA
ASV_16S_01309 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae Opitutus NA NA Bacteria Verrucomicrobia Opitutae Opitutales Opitutaceae Opitutus NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae NA NA
ASV_16S_01310 Bacteria Bacteroidota Bacteroidia Sphingobacteriales AKYH767 NA NA NA Bacteria Bacteroidetes NA NA NA NA NA NA Bacteria Bacteroidota Bacteroidia Sphingobacteriales AKYH767 NA NA
ASV_16S_01311 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidicapsa acidisoli acidisoli Bacteria Acidobacteria Acidobacteria_Gp1 Acidicapsa NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidicapsa NA
ASV_16S_01312 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA NA Bacteria Actinobacteria Actinobacteria Mycobacteriales Mycobacteriaceae Mycobacterium JC2972 JC2972 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_16S_01313 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA
ASV_16S_01314 Bacteria Verrucomicrobiota Verrucomicrobiae "S-BQ2-57 soil group" NA NA NA NA Bacteria Verrucomicrobia NA NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae "S-BQ2-57 soil group" NA NA NA
ASV_16S_01315 Bacteria Patescibacteria Parcubacteria NA NA NA NA NA Bacteria Parcubacteria NA NA NA NA NA NA Bacteria Patescibacteria Parcubacteria NA NA NA NA
ASV_16S_01316 Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae NA NA NA Bacteria Bacteroidetes Cytophagia Cytophagales Fulvivirgaceae Chryseolinea NA NA Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae NA NA
ASV_16S_01317 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota NA NA NA NA NA
ASV_16S_01318 Bacteria Armatimonadota NA NA NA NA NA NA Bacteria Actinobacteria NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01319 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Rhodoplanes NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_16S_01320 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Bradyrhizobium NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Rhodopseudomonas NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_16S_01321 Bacteria Myxococcota Polyangia Polyangiales Polyangiaceae Pajaroellobacter NA NA Bacteria Proteobacteria Deltaproteobacteria Myxococcales Labilitrichaceae Labilithrix NA NA Bacteria Myxococcota Polyangia Polyangiales Polyangiaceae Pajaroellobacter NA
ASV_16S_01322 Bacteria Elusimicrobiota "Lineage IIa" NA NA NA NA NA Bacteria NA NA NA NA NA NA NA Bacteria Elusimicrobiota "Lineage IIa" NA NA NA NA
ASV_16S_01323 Bacteria Verrucomicrobiota Kiritimatiellae WCHB1-41 NA NA NA NA Bacteria Verrucomicrobia Subdivision5 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01324 Bacteria Nitrospirota Thermodesulfovibrionia NA NA NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01325 Bacteria WPS-2 NA NA NA NA NA NA Bacteria candidate_division_WPS-2 NA NA NA NA NA NA Bacteria WPS-2 NA NA NA NA NA
ASV_16S_01326 Bacteria Bacteroidota Bacteroidia Sphingobacteriales "CWT CU03-E12" NA NA NA Bacteria Bacteroidetes NA NA NA NA NA NA Bacteria Bacteroidota Bacteroidia Sphingobacteriales "CWT CU03-E12" NA NA
ASV_16S_01327 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae Xylophilus NA NA Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Variovorax NA NA Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_16S_01328 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae Lacunisphaera NA NA Bacteria Verrucomicrobia Opitutae Opitutales Opitutaceae Opitutus NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae NA NA
ASV_16S_01329 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidipila-Silvibacterium NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Acidipila NA
ASV_16S_01330 Bacteria Bacteroidota Bacteroidia Bacteroidales "Bacteroidetes vadinHA17" NA NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales Marinilabiliaceae NA NA NA Bacteria Bacteroidota Bacteroidia Bacteroidales "Bacteroidetes vadinHA17" NA NA
ASV_16S_01331 Bacteria Actinobacteriota Thermoleophilia Gaiellales NA NA NA NA Bacteria Actinobacteria Thermoleophilia Gaiellales Gaiellaceae Gaiella NA NA Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_16S_01332 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA
ASV_16S_01333 Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae NA NA NA Bacteria Chlamydiae Chlamydiia Chlamydiales Parachlamydiaceae Neochlamydia NA NA Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae NA NA
ASV_16S_01334 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_16S_01335 Bacteria NA NA NA NA NA NA NA Bacteria NA NA NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01336 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 NA NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" NA NA
ASV_16S_01337 Bacteria Planctomycetota Planctomycetes Gemmatales Gemmataceae Gemmata NA NA Bacteria Planctomycetes Planctomycetacia Planctomycetales Gemmataceae NA NA NA Bacteria Planctomycetota Planctomycetes Gemmatales Gemmataceae Gemmata NA
ASV_16S_01338 Bacteria Acidobacteriota Acidobacteriae "Subgroup 2" NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp2 Gp2 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae "Subgroup 2" NA NA NA
ASV_16S_01339 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae Acidisoma NA NA Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Acetobacteraceae NA NA NA Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae Acidisoma NA
ASV_16S_01340 Bacteria Armatimonadota Fimbriimonadia Fimbriimonadales Fimbriimonadaceae NA NA NA Bacteria Armatimonadetes Armatimonadetes_gp5 NA NA NA NA NA NA NA NA NA NA NA NA
ASV_16S_01341 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae NA NA NA Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Rudaea NA NA Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Rhodanobacter NA
ASV_16S_01342 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Acidicapsa NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Acidobacteriales "Acidobacteriaceae (Subgroup 1)" Occallatibacter NA
ASV_16S_01343 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae Lacunisphaera NA NA Bacteria Verrucomicrobia Opitutae Opitutales Opitutaceae Oleiharenicola NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae NA NA
ASV_16S_01344 Bacteria Bacteroidota Bacteroidia Sphingobacteriales AKYH767 NA NA NA Bacteria Bacteroidetes Bacteroidia Bacteroidales NA NA NA NA Bacteria Bacteroidota Bacteroidia Sphingobacteriales NA NA NA
ASV_16S_01345 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae Acidocella NA NA Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Acetobacteraceae Acidocella NA NA Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae NA NA
ASV_16S_01346 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Hyphomicrobiaceae NA NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA NA Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA
ASV_16S_01347 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales NA NA NA NA Bacteria Acidobacteria Acidobacteria_Gp1 Gp1 NA NA NA NA Bacteria Acidobacteriota NA NA NA NA NA
ASV_16S_01348 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA
ASV_16S_01349 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA NA Bacteria Acidobacteria Acidobacteria_Gp3 Gp3 NA NA NA NA Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_16S_01350 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae Opitutus NA NA Bacteria Verrucomicrobia Opitutae Opitutales Opitutaceae Opitutus NA NA Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Opitutaceae Opitutus NA
ASV_16S_01351 Bacteria Verrucomicrobiota Verrucomicrobiae Pedosphaerales Pedosphaeraceae NA NA NA Bacteria Verrucomicrobia Subdivision3 NA NA NA NA NA Bacteria NA NA NA NA NA NA
ASV_16S_01352 Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae Neochlamydia NA NA Bacteria Chlamydiae Chlamydiia Chlamydiales Parachlamydiaceae Neochlamydia NA NA Bacteria Verrucomicrobiota Chlamydiae Chlamydiales Parachlamydiaceae NA NA
ASV_16S_01354 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA NA Bacteria Proteobacteria Betaproteobacteria NA NA NA NA NA Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA
ASV_16S_01355 Bacteria Bacteroidota Bacteroidia Sphingobacteriales "env.OPS 17" NA NA NA Bacteria Bacteroidetes NA NA NA NA NA NA Bacteria Bacteroidota Bacteroidia Sphingobacteriales "env.OPS 17" NA NA
